clip_dir,motion,label,time_of_day,flow_magnitude
<DATASET_ROOT>/240529140943_M801C06L62G031_2673_end_extract/drive_33/04,stop,1,daytime,0.7243375182151794
<DATASET_ROOT>/231116093002_M801C06L62G031_2673_end_extract/drive_1/04,stop,1,daytime,0.34525683522224426
<DATASET_ROOT>/240822084904_M801C06L62G031_2673_end_extract/drive_12/03,moving straight,0,daytime,6.352934837341309
<DATASET_ROOT>/231116093002_M801C06L62G031_2673_end_extract/drive_5/01,stop,1,daytime,0.09181448817253113
<DATASET_ROOT>/240325141234_M801C06L62G031_2673_end_extract/drive_5/04,stop,1,daytime,0.019736072048544884
<DATASET_ROOT>/241018130234_M801C06L62G031_2673_end_extract/drive_2/03,moving straight,0,daytime,3.6596803665161133
<DATASET_ROOT>/240529140943_M801C06L62G031_2673_end_extract/drive_4/03,stop,1,daytime,3.0013339519500732
<DATASET_ROOT>/240322135559_M801C06L62G031_2673_end_extract/drive_4/02,moving straight,0,daytime,5.4744110107421875
<DATASET_ROOT>/240325141234_M801C06L62G031_2673_end_extract/drive_8/04,curved lane driving,0,daytime,4.165561199188232
<DATASET_ROOT>/240325141234_M801C06L62G031_2673_end_extract/drive_2/01,stop,1,daytime,0.023297209292650223
<DATASET_ROOT>/240205094744_M801C06L62G031_2673_end_extract/drive_5/01,moving straight,0,daytime,3.722909927368164
<DATASET_ROOT>/240205094744_M801C06L62G031_2673_end_extract/drive_6/02,moving straight,0,daytime,5.262480735778809
<DATASET_ROOT>/240822134456_M801C06L62G031_2673_end_extract/drive_3/01,moving straight,0,daytime,8.120835304260254
<DATASET_ROOT>/241018130234_M801C06L62G031_2673_end_extract/drive_16/03,curved lane driving,0,nighttime,1.8066192865371704
<DATASET_ROOT>/240322135559_M801C06L62G031_2673_end_extract/drive_16/02,moving straight,0,daytime,6.311967849731445
<DATASET_ROOT>/240205094744_M801C06L62G031_2673_end_extract/drive_5/04,stop,1,daytime,0.11014571785926819
<DATASET_ROOT>/240529140943_M801C06L62G031_2673_end_extract/drive_5/04,stop,1,daytime,3.3987393379211426
<DATASET_ROOT>/240322135559_M801C06L62G031_2673_end_extract/drive_19/02,stop,1,daytime,7.069950103759766
<DATASET_ROOT>/241018130234_M801C06L62G031_2673_end_extract/drive_5/03,moving straight,0,daytime,8.906214714050293
<DATASET_ROOT>/240325141234_M801C06L62G031_2673_end_extract/drive_7/01,moving straight,0,daytime,3.7413229942321777
<DATASET_ROOT>/240529140943_M801C06L62G031_2673_end_extract/drive_13/04,moving straight,0,daytime,9.701395034790039
<DATASET_ROOT>/240322135559_M801C06L62G031_2673_end_extract/drive_7/03,moving straight,0,daytime,4.104652404785156
<DATASET_ROOT>/241018130234_M801C06L62G031_2673_end_extract/drive_15/04,curved lane driving,0,nighttime,1.5392634868621826
<DATASET_ROOT>/240529140943_M801C06L62G031_2673_end_extract/drive_10/04,stop,1,daytime,0.015507228672504425
<DATASET_ROOT>/240822134456_M801C06L62G031_2673_end_extract/drive_8/01,stop,1,daytime,0.40920165181159973
<DATASET_ROOT>/240322135559_M801C06L62G031_2673_end_extract/drive_11/04,stop,1,daytime,0.010015962645411491
<DATASET_ROOT>/240205094744_M801C06L62G031_2673_end_extract/drive_2/02,moving straight,0,daytime,1.3779488801956177
<DATASET_ROOT>/241018130234_M801C06L62G031_2673_end_extract/drive_11/01,stop,1,daytime,0.011232594028115273
<DATASET_ROOT>/240529140943_M801C06L62G031_2673_end_extract/drive_28/01,stop,1,daytime,1.0041714906692505
<DATASET_ROOT>/240530090206_M801C06L62G031_2673_end_extract/drive_12/03,moving straight,0,daytime,4.498302936553955
<DATASET_ROOT>/240530090206_M801C06L62G031_2673_end_extract/drive_3/01,moving straight,0,daytime,7.600489616394043
<DATASET_ROOT>/240205094744_M801C06L62G031_2673_end_extract/drive_6/01,stop,1,daytime,2.7611331939697266
<DATASET_ROOT>/240529140943_M801C06L62G031_2673_end_extract/drive_7/03,moving straight,0,daytime,5.001083850860596
<DATASET_ROOT>/240325141234_M801C06L62G031_2673_end_extract/drive_4/03,stop,1,daytime,1.5432229042053223
<DATASET_ROOT>/240205170303_M801C06L62G031_2673_end_extract/drive_1/01,stop,1,daytime,0.4477757215499878
