id,video_file,word,tag,type,is_true
cat_string_toy,cat_string_toy.ogv,playing,VBG,action,True
cat_string_toy,cat_string_toy.ogv,toy,NN,object,True
cat_string_toy,cat_string_toy.ogv,hanging,VBG,action,True
cat_string_toy,cat_string_toy.ogv,orange,NN,object,True
cat_string_toy,cat_string_toy.ogv,string,NN,object,True
cat_string_toy,cat_string_toy.ogv,cat,NN,object,True
cat_string_toy,cat_string_toy.ogv,indoors,NNS,object,True
cat_string_toy,cat_string_toy.ogv,lying,VBG,action,True
cat_string_toy,cat_string_toy.ogv,group,NN,object,False
cat_string_toy,cat_string_toy.ogv,horses,NNS,object,False
cat_string_toy,cat_string_toy.ogv,pasture,NN,object,False
cat_string_toy,cat_string_toy.ogv,running,VBG,action,False
cat_string_toy,cat_string_toy.ogv,sleeping,VBG,action,False
cat_string_toy,cat_string_toy.ogv,ignoring,VBG,action,False
cat_string_toy,cat_string_toy.ogv,dog,NN,object,False
cooking_thermometer,cooking_thermometer.webm,thermometer,NN,object,True
cooking_thermometer,cooking_thermometer.webm,adults,NNS,object,True
cooking_thermometer,cooking_thermometer.webm,cooking,VBG,action,True
cooking_thermometer,cooking_thermometer.webm,kitchen,NN,object,True
cooking_thermometer,cooking_thermometer.webm,food,NN,object,True
cooking_thermometer,cooking_thermometer.webm,burger,NN,object,True
cooking_thermometer,cooking_thermometer.webm,child,NN,object,True
cooking_thermometer,cooking_thermometer.webm,front,NN,object,False
cooking_thermometer,cooking_thermometer.webm,guitar,NN,object,False
cooking_thermometer,cooking_thermometer.webm,playing,VBG,action,False
cooking_thermometer,cooking_thermometer.webm,man,NN,object,False
cooking_thermometer,cooking_thermometer.webm,audience,NN,object,False
cooking_thermometer,cooking_thermometer.webm,indoors,NNS,object,False
cooking_thermometer,cooking_thermometer.webm,sitting,VBG,action,False
cooking_thermometer,cooking_thermometer.webm,wash,NN,object,False
cooking_thermometer,cooking_thermometer.webm,sink,NN,object,False
cooking_thermometer,cooking_thermometer.webm,chicken,NN,object,False
van_driving,van_driving.webm,van,NN,object,True
van_driving,van_driving.webm,building,NN,object,True
van_driving,van_driving.webm,being,VBG,action,True
van_driving,van_driving.webm,brick,NN,object,True
van_driving,van_driving.webm,street,NN,object,True
van_driving,van_driving.webm,outdoors,NNS,object,False
van_driving,van_driving.webm,singing,VBG,action,False
van_driving,van_driving.webm,clothing,NN,object,False
van_driving,van_driving.webm,group,NN,object,False
van_driving,van_driving.webm,people,NNS,object,False
van_driving,van_driving.webm,sports,NNS,object,False
van_driving,van_driving.webm,car,NN,object,False
dog_park,dog_park.ogv,trees,NNS,object,True
dog_park,dog_park.ogv,bare,NN,object,True
dog_park,dog_park.ogv,outdoors,NNS,object,True
dog_park,dog_park.ogv,ground,NN,object,True
dog_park,dog_park.ogv,playing,VBG,action,True
dog_park,dog_park.ogv,park,NN,object,True
dog_park,dog_park.ogv,leaves,NNS,object,True
dog_park,dog_park.ogv,dogs,NNS,object,True
dog_park,dog_park.ogv,shirt,NN,object,False
dog_park,dog_park.ogv,city,NN,object,False
dog_park,dog_park.ogv,bicycle,NN,object,False
dog_park,dog_park.ogv,riding,VBG,action,False
dog_park,dog_park.ogv,man,NN,object,False
dog_park,dog_park.ogv,street,NN,object,False
dog_park,dog_park.ogv,sleeping,VBG,action,False
dog_park,dog_park.ogv,cats,NNS,object,False
horse_herd,horse_herd.webm,line,NN,object,True
horse_herd,horse_herd.webm,running,VBG,action,True
horse_herd,horse_herd.webm,group,NN,object,True
horse_herd,horse_herd.webm,horses,NNS,object,True
horse_herd,horse_herd.webm,pasture,NN,object,True
horse_herd,horse_herd.webm,playing,VBG,action,False
horse_herd,horse_herd.webm,toy,NN,object,False
horse_herd,horse_herd.webm,hanging,VBG,action,False
horse_herd,horse_herd.webm,orange,NN,object,False
horse_herd,horse_herd.webm,string,NN,object,False
horse_herd,horse_herd.webm,cat,NN,object,False
horse_herd,horse_herd.webm,indoors,NNS,object,False
horse_herd,horse_herd.webm,lying,VBG,action,False
horse_herd,horse_herd.webm,standing,VBG,action,False
horse_herd,horse_herd.webm,grazing,VBG,action,False
horse_herd,horse_herd.webm,cows,NNS,object,False
guitar_play,guitar_play.webm,front,NN,object,True
guitar_play,guitar_play.webm,guitar,NN,object,True
guitar_play,guitar_play.webm,playing,VBG,action,True
guitar_play,guitar_play.webm,man,NN,object,True
guitar_play,guitar_play.webm,audience,NN,object,True
guitar_play,guitar_play.webm,indoors,NNS,object,True
guitar_play,guitar_play.webm,sitting,VBG,action,True
guitar_play,guitar_play.webm,van,NN,object,False
guitar_play,guitar_play.webm,building,NN,object,False
guitar_play,guitar_play.webm,being,VBG,action,False
guitar_play,guitar_play.webm,brick,NN,object,False
guitar_play,guitar_play.webm,street,NN,object,False
guitar_play,guitar_play.webm,standing,VBG,action,False
guitar_play,guitar_play.webm,singing,VBG,action,False
guitar_play,guitar_play.webm,instrument,NN,object,False
guitar_play,guitar_play.webm,violin,NN,object,False
guitar_play,guitar_play.webm,woman,NN,object,False
people_dancing,people_dancing.webm,outdoors,NNS,object,True
people_dancing,people_dancing.webm,singing,VBG,action,True
people_dancing,people_dancing.webm,clothing,NN,object,True
people_dancing,people_dancing.webm,group,NN,object,True
people_dancing,people_dancing.webm,people,NNS,object,True
people_dancing,people_dancing.webm,trees,NNS,object,False
people_dancing,people_dancing.webm,bare,NN,object,False
people_dancing,people_dancing.webm,ground,NN,object,False
people_dancing,people_dancing.webm,playing,VBG,action,False
people_dancing,people_dancing.webm,park,NN,object,False
people_dancing,people_dancing.webm,leaves,NNS,object,False
people_dancing,people_dancing.webm,dogs,NNS,object,False
people_dancing,people_dancing.webm,speaking,VBG,action,False
people_dancing,people_dancing.webm,sitting,VBG,action,False
people_dancing,people_dancing.webm,suits,NNS,object,False
people_dancing,people_dancing.webm,business,NN,object,False
bicycle_ride,bicycle_ride.ogv,shirt,NN,object,True
bicycle_ride,bicycle_ride.ogv,city,NN,object,True
bicycle_ride,bicycle_ride.ogv,bicycle,NN,object,True
bicycle_ride,bicycle_ride.ogv,riding,VBG,action,True
bicycle_ride,bicycle_ride.ogv,man,NN,object,True
bicycle_ride,bicycle_ride.ogv,street,NN,object,True
bicycle_ride,bicycle_ride.ogv,thermometer,NN,object,False
bicycle_ride,bicycle_ride.ogv,adults,NNS,object,False
bicycle_ride,bicycle_ride.ogv,cooking,VBG,action,False
bicycle_ride,bicycle_ride.ogv,kitchen,NN,object,False
bicycle_ride,bicycle_ride.ogv,food,NN,object,False
bicycle_ride,bicycle_ride.ogv,burger,NN,object,False
bicycle_ride,bicycle_ride.ogv,child,NN,object,False
bicycle_ride,bicycle_ride.ogv,standing,VBG,action,False
bicycle_ride,bicycle_ride.ogv,woman,NN,object,False
