video_id,A pedestrian is crossing the street.,The vehicle is driving in heavy rain.,The car is turning right at an intersection.,Bright sunny weather with clear skies.,A bus is visible on the road.
example_01,0.10801319777965546,0.08700811117887497,0.21151186525821686,0.24681410193443298,0.1519148051738739
example_02,0.019652357324957848,0.24563270807266235,0.03772032633423805,0.1300344318151474,0.21923917531967163
example_03,0.19598500430583954,0.07566985487937927,0.1428127884864807,0.12305016070604324,0.03400810435414314
example_04,0.11090520024299622,0.002413599519059062,0.10816940665245056,0.15925051271915436,0.3494744896888733
example_05,0.03232715651392937,0.918621301651001,0.046917568892240524,0.06431189924478531,0.0401337556540966
example_06,0.25336501002311707,0.0016280016861855984,0.4946483075618744,0.32674458622932434,0.07989442348480225
example_07,0.07750064134597778,0.0011481631081551313,0.4629460573196411,0.21526823937892914,0.1928333193063736
example_08,0.1907995194196701,0.0005647856160067022,0.5625012516975403,0.22857284545898438,0.044811028987169266
example_09,0.09541957825422287,0.0005778028280474246,0.10439658910036087,0.25784945487976074,0.04978827014565468
example_10,0.03297585994005203,0.003333812579512596,0.1942656934261322,0.2903241217136383,0.05350789427757263
