id,video_file,word,tag,type,is_true,style,score
cat_string_toy,cat_string_toy.ogv,hanging,VBG,action,True,photo,0.09657575935125351
cat_string_toy,cat_string_toy.ogv,toy,NN,object,True,photo,0.049451958388090134
cat_string_toy,cat_string_toy.ogv,orange,NN,object,True,photo,0.04245898872613907
cat_string_toy,cat_string_toy.ogv,indoors,NNS,object,True,photo,0.19027650356292725
cat_string_toy,cat_string_toy.ogv,cat,NN,object,True,photo,0.10391043871641159
cat_string_toy,cat_string_toy.ogv,playing,VBG,action,True,photo,0.1310972273349762
cat_string_toy,cat_string_toy.ogv,lying,VBG,action,True,photo,0.2934063971042633
cat_string_toy,cat_string_toy.ogv,string,NN,object,True,photo,0.03566480800509453
cat_string_toy,cat_string_toy.ogv,running,VBG,action,False,photo,0.038394495844841
cat_string_toy,cat_string_toy.ogv,group,NN,object,False,photo,0.009503914974629879
cat_string_toy,cat_string_toy.ogv,horses,NNS,object,False,photo,0.00015900086145848036
cat_string_toy,cat_string_toy.ogv,pasture,NN,object,False,photo,6.908281648065895e-05
cat_string_toy,cat_string_toy.ogv,ignoring,VBG,action,False,photo,0.2759840190410614
cat_string_toy,cat_string_toy.ogv,sleeping,VBG,action,False,photo,0.1197432279586792
cat_string_toy,cat_string_toy.ogv,dog,NN,object,False,photo,0.019971100613474846
cooking_thermometer,cooking_thermometer.webm,child,NN,object,True,cartoon,0.3574199080467224
cooking_thermometer,cooking_thermometer.webm,kitchen,NN,object,True,cartoon,0.651350200176239
cooking_thermometer,cooking_thermometer.webm,burger,NN,object,True,cartoon,0.05283891037106514
cooking_thermometer,cooking_thermometer.webm,thermometer,NN,object,True,cartoon,0.9685922265052795
cooking_thermometer,cooking_thermometer.webm,food,NN,object,True,cartoon,0.6505116820335388
cooking_thermometer,cooking_thermometer.webm,adults,NNS,object,True,cartoon,0.8533797860145569
cooking_thermometer,cooking_thermometer.webm,cooking,VBG,action,True,cartoon,0.9656428694725037
cooking_thermometer,cooking_thermometer.webm,sitting,VBG,action,False,cartoon,0.2822312116622925
cooking_thermometer,cooking_thermometer.webm,playing,VBG,action,False,cartoon,0.17802223563194275
cooking_thermometer,cooking_thermometer.webm,guitar,NN,object,False,cartoon,0.0007918057963252068
cooking_thermometer,cooking_thermometer.webm,indoors,NNS,object,False,cartoon,0.8035956621170044
cooking_thermometer,cooking_thermometer.webm,audience,NN,object,False,cartoon,0.018702400848269463
cooking_thermometer,cooking_thermometer.webm,man,NN,object,False,cartoon,0.27138859033584595
cooking_thermometer,cooking_thermometer.webm,front,NN,object,False,cartoon,0.783555269241333
cooking_thermometer,cooking_thermometer.webm,wash,NN,object,False,cartoon,0.11735133081674576
cooking_thermometer,cooking_thermometer.webm,sink,NN,object,False,cartoon,0.006175453774631023
cooking_thermometer,cooking_thermometer.webm,chicken,NN,object,False,cartoon,0.00750449113547802
van_driving,van_driving.webm,being,VBG,action,True,photo,0.058668915182352066
van_driving,van_driving.webm,street,NN,object,True,photo,0.02693789079785347
van_driving,van_driving.webm,brick,NN,object,True,photo,0.026007739827036858
van_driving,van_driving.webm,building,NN,object,True,photo,0.011440935544669628
van_driving,van_driving.webm,van,NN,object,True,photo,0.3637147843837738
van_driving,van_driving.webm,outdoors,NNS,object,False,photo,0.11130189895629883
van_driving,van_driving.webm,group,NN,object,False,photo,0.016869958490133286
van_driving,van_driving.webm,clothing,NN,object,False,photo,0.020976370200514793
van_driving,van_driving.webm,people,NNS,object,False,photo,0.010788056999444962
van_driving,van_driving.webm,singing,VBG,action,False,photo,0.019482100382447243
van_driving,van_driving.webm,car,NN,object,False,photo,0.2523851990699768
van_driving,van_driving.webm,sports,NNS,object,False,photo,0.0022487679962068796
dog_park,dog_park.ogv,playing,VBG,action,True,photo,0.28453701734542847
dog_park,dog_park.ogv,bare,NN,object,True,photo,0.3171663284301758
dog_park,dog_park.ogv,dogs,NNS,object,True,photo,0.43996256589889526
dog_park,dog_park.ogv,outdoors,NNS,object,True,photo,0.17924001812934875
dog_park,dog_park.ogv,leaves,NNS,object,True,photo,0.16898086667060852
dog_park,dog_park.ogv,park,NN,object,True,photo,0.6200171709060669
dog_park,dog_park.ogv,trees,NNS,object,True,photo,0.5336748957633972
dog_park,dog_park.ogv,ground,NN,object,True,photo,0.46219828724861145
dog_park,dog_park.ogv,shirt,NN,object,False,photo,0.002336481586098671
dog_park,dog_park.ogv,bicycle,NN,object,False,photo,0.01171411108225584
dog_park,dog_park.ogv,city,NN,object,False,photo,0.006040956825017929
dog_park,dog_park.ogv,riding,VBG,action,False,photo,0.03446882590651512
dog_park,dog_park.ogv,street,NN,object,False,photo,0.007791439536958933
dog_park,dog_park.ogv,man,NN,object,False,photo,0.07389990985393524
dog_park,dog_park.ogv,sleeping,VBG,action,False,photo,0.008582361042499542
dog_park,dog_park.ogv,cats,NNS,object,False,photo,0.017697719857096672
horse_herd,horse_herd.webm,horses,NNS,object,True,photo,0.41209882497787476
horse_herd,horse_herd.webm,pasture,NN,object,True,photo,0.4155176877975464
horse_herd,horse_herd.webm,running,VBG,action,True,photo,0.5825075507164001
horse_herd,horse_herd.webm,line,NN,object,True,photo,0.14165787398815155
horse_herd,horse_herd.webm,group,NN,object,True,photo,0.08954708278179169
horse_herd,horse_herd.webm,hanging,VBG,action,False,photo,0.06569498777389526
horse_herd,horse_herd.webm,toy,NN,object,False,photo,0.014624970965087414
horse_herd,horse_herd.webm,orange,NN,object,False,photo,0.0005590703804045916
horse_herd,horse_herd.webm,indoors,NNS,object,False,photo,0.003206854686141014
horse_herd,horse_herd.webm,cat,NN,object,False,photo,0.00154205528087914
horse_herd,horse_herd.webm,playing,VBG,action,False,photo,0.1234232559800148
horse_herd,horse_herd.webm,lying,VBG,action,False,photo,0.017528828233480453
horse_herd,horse_herd.webm,string,NN,object,False,photo,0.06660155951976776
horse_herd,horse_herd.webm,grazing,VBG,action,False,photo,0.2117544263601303
horse_herd,horse_herd.webm,standing,VBG,action,False,photo,0.1422785371541977
horse_herd,horse_herd.webm,cows,NNS,object,False,photo,0.03125862032175064
guitar_play,guitar_play.webm,sitting,VBG,action,True,photo,0.0704084187746048
guitar_play,guitar_play.webm,playing,VBG,action,True,photo,0.17973250150680542
guitar_play,guitar_play.webm,guitar,NN,object,True,photo,0.005586364306509495
guitar_play,guitar_play.webm,indoors,NNS,object,True,photo,0.02189103700220585
guitar_play,guitar_play.webm,audience,NN,object,True,photo,0.00781773030757904
guitar_play,guitar_play.webm,man,NN,object,True,photo,0.061400625854730606
guitar_play,guitar_play.webm,front,NN,object,True,photo,0.037270352244377136
guitar_play,guitar_play.webm,being,VBG,action,False,photo,0.020510664209723473
guitar_play,guitar_play.webm,street,NN,object,False,photo,0.0020938224624842405
guitar_play,guitar_play.webm,brick,NN,object,False,photo,0.004914932418614626
guitar_play,guitar_play.webm,building,NN,object,False,photo,0.00235117063857615
guitar_play,guitar_play.webm,van,NN,object,False,photo,0.0005740640917792916
guitar_play,guitar_play.webm,standing,VBG,action,False,photo,0.05993592366576195
guitar_play,guitar_play.webm,instrument,NN,object,False,photo,0.011151731014251709
guitar_play,guitar_play.webm,singing,VBG,action,False,photo,0.3213311433792114
guitar_play,guitar_play.webm,woman,NN,object,False,photo,0.03388168290257454
guitar_play,guitar_play.webm,violin,NN,object,False,photo,0.00032644576276652515
