clip_dir,motion,flow_x
<DATASET_ROOT>/240322135559_M801C06L62G031_2673_end_extract/drive_8/03,turning left,0.8279815912246704
<DATASET_ROOT>/240325141234_M801C06L62G031_2673_end_extract/drive_6/02,turning left,0.18633593618869781
<DATASET_ROOT>/240325141234_M801C06L62G031_2673_end_extract/drive_6/03,turning left,1.40238618850708
<DATASET_ROOT>/240529140943_M801C06L62G031_2673_end_extract/drive_27/02,turning left,-2.2361481189727783
<DATASET_ROOT>/240529140943_M801C06L62G031_2673_end_extract/drive_4/02,turning left,1.2072060108184814
<DATASET_ROOT>/240530090206_M801C06L62G031_2673_end_extract/drive_2/01,turning left,3.9811887741088867
<DATASET_ROOT>/240822084904_M801C06L62G031_2673_end_extract/drive_18/02,turning left,-0.1849658489227295
<DATASET_ROOT>/240822134456_M801C06L62G031_2673_end_extract/drive_10/03,turning left,4.026063919067383
<DATASET_ROOT>/231106095132_M801C06L62G031_2673_end_extract/drive_1/01,turning right,-0.2494128942489624
<DATASET_ROOT>/240322135559_M801C06L62G031_2673_end_extract/drive_13/01,turning right,-3.1999351978302
<DATASET_ROOT>/240322135559_M801C06L62G031_2673_end_extract/drive_14/02,turning right,-0.7004178762435913
<DATASET_ROOT>/240322135559_M801C06L62G031_2673_end_extract/drive_17/02,turning right,-4.300322532653809
<DATASET_ROOT>/240529140943_M801C06L62G031_2673_end_extract/drive_11/04,turning right,4.0935893058776855
<DATASET_ROOT>/240529140943_M801C06L62G031_2673_end_extract/drive_14/03,turning right,-0.23652660846710205
<DATASET_ROOT>/240529140943_M801C06L62G031_2673_end_extract/drive_18/03,turning right,1.1686898469924927
<DATASET_ROOT>/240529140943_M801C06L62G031_2673_end_extract/drive_19/02,turning right,-1.5193413496017456
<DATASET_ROOT>/240529140943_M801C06L62G031_2673_end_extract/drive_27/04,turning right,-2.5795607566833496
<DATASET_ROOT>/240529140943_M801C06L62G031_2673_end_extract/drive_3/01,turning right,-2.6345677375793457
<DATASET_ROOT>/240530090206_M801C06L62G031_2673_end_extract/drive_1/02,turning right,0.013049304485321045
<DATASET_ROOT>/240530090206_M801C06L62G031_2673_end_extract/drive_15/02,turning right,1.014859914779663
<DATASET_ROOT>/240530090206_M801C06L62G031_2673_end_extract/drive_20/04,turning right,-3.755722999572754
<DATASET_ROOT>/240530090206_M801C06L62G031_2673_end_extract/drive_21/02,turning right,-3.8634462356567383
<DATASET_ROOT>/240530090206_M801C06L62G031_2673_end_extract/drive_7/02,turning right,-2.6177968978881836
<DATASET_ROOT>/240529140943_M801C06L62G031_2673_end_extract/drive_28/04,moving straight,-0.3666853904724121
<DATASET_ROOT>/240822134456_M801C06L62G031_2673_end_extract/drive_8/02,moving straight,-1.0933328866958618
<DATASET_ROOT>/240530090206_M801C06L62G031_2673_end_extract/drive_15/01,moving straight,-0.9340011477470398
<DATASET_ROOT>/240822134456_M801C06L62G031_2673_end_extract/drive_6/02,moving straight,3.0289831161499023
<DATASET_ROOT>/241018130234_M801C06L62G031_2673_end_extract/drive_17/02,moving straight,-0.08198593556880951
<DATASET_ROOT>/240822084904_M801C06L62G031_2673_end_extract/drive_20/02,moving straight,-1.1598633527755737
<DATASET_ROOT>/240529140943_M801C06L62G031_2673_end_extract/drive_3/04,moving straight,0.4969426393508911
<DATASET_ROOT>/240529140943_M801C06L62G031_2673_end_extract/drive_8/02,moving straight,2.162594795227051
<DATASET_ROOT>/240822134456_M801C06L62G031_2673_end_extract/drive_6/01,moving straight,-0.2125660926103592
<DATASET_ROOT>/240530090206_M801C06L62G031_2673_end_extract/drive_20/03,moving straight,1.4836926460266113
<DATASET_ROOT>/240322135559_M801C06L62G031_2673_end_extract/drive_16/03,moving straight,0.2648578882217407
<DATASET_ROOT>/240322135559_M801C06L62G031_2673_end_extract/drive_15/03,moving straight,-0.83391273021698
<DATASET_ROOT>/240822084904_M801C06L62G031_2673_end_extract/drive_7/04,moving straight,-0.4042934775352478
<DATASET_ROOT>/240529140943_M801C06L62G031_2673_end_extract/drive_8/04,moving straight,-0.8760993480682373
<DATASET_ROOT>/240529140943_M801C06L62G031_2673_end_extract/drive_31/01,moving straight,0.6511472463607788
<DATASET_ROOT>/240530090206_M801C06L62G031_2673_end_extract/drive_29/01,moving straight,0.32990241050720215
<DATASET_ROOT>/240530090206_M801C06L62G031_2673_end_extract/drive_25/04,moving straight,0.16794614493846893
<DATASET_ROOT>/240822084904_M801C06L62G031_2673_end_extract/drive_5/02,moving straight,4.7393269538879395
<DATASET_ROOT>/240322135559_M801C06L62G031_2673_end_extract/drive_15/04,moving straight,-1.7599091529846191
<DATASET_ROOT>/240205094744_M801C06L62G031_2673_end_extract/drive_2/01,moving straight,-0.07178652286529541
