video_id,A pedestrian is crossing the street.,The vehicle is driving in heavy rain.,The car is turning right at an intersection.,Bright sunny weather with clear skies.,A bus is visible on the road.
example_01,0.7672991156578064,0.80019611120224,0.7823125123977661,0.812802791595459,0.8137431144714355
example_02,0.742922842502594,0.806032657623291,0.8112109899520874,0.783467173576355,0.7760263085365295
example_03,0.7961418032646179,0.814993679523468,0.7850240468978882,0.6990630030632019,0.7777391672134399
example_04,0.8152293562889099,0.7926542162895203,0.8461773991584778,0.8130428194999695,0.8214542865753174
example_05,0.7449552416801453,0.8083593249320984,0.8089520335197449,0.7791315913200378,0.7996894121170044
example_06,0.8165769577026367,0.7815162539482117,0.8216738104820251,0.831074059009552,0.888369619846344
example_07,0.7436062097549438,0.7267978191375732,0.7613359093666077,0.7792893648147583,0.78879714012146
example_08,0.7360628247261047,0.7389808297157288,0.8030251264572144,0.783467173576355,0.7548012137413025
example_09,0.9286972284317017,0.7267978191375732,0.7810490131378174,0.7813360691070557,0.8145965337753296
example_10,0.8011546730995178,0.7926542162895203,0.8405060768127441,0.8718197345733643,0.7921669483184814
