video_id,A pedestrian is crossing the street.,The vehicle is driving in heavy rain.,The car is turning right at an intersection.,Bright sunny weather with clear skies.,A bus is visible on the road.
example_01,0.6614974737167358,0.7191858291625977,0.7079144716262817,0.5710380673408508,0.7156914472579956
example_02,0.6234831213951111,0.6766872406005859,0.6437878608703613,0.4981068968772888,0.6644229888916016
example_03,0.6531422138214111,0.7384572625160217,0.6476157307624817,0.49998387694358826,0.6716662645339966
example_04,0.6991468667984009,0.6325767040252686,0.6165005564689636,0.46470096707344055,0.7225720882415771
example_05,0.6174123287200928,0.6402023434638977,0.5895200967788696,0.3801543116569519,0.6545752286911011
example_06,0.7727954387664795,0.5425292253494263,0.6983555555343628,0.5701397061347961,0.7273167967796326
example_07,0.6303480863571167,0.4795292615890503,0.5536822080612183,0.5121970772743225,0.6484684348106384
example_08,0.6724646687507629,0.535755455493927,0.6212154030799866,0.6081925630569458,0.6877872943878174
example_09,0.7174419164657593,0.5872878432273865,0.6678675413131714,0.6243194341659546,0.7445949912071228
example_10,0.6647624969482422,0.5172168016433716,0.6303799152374268,0.5606701374053955,0.717384934425354
