clip_dir,field,sentence,score,label
<DATASET_ROOT>/241018102947_M801C06L62G031_2673_end_extract/drive_3/03,motion,The vehicle is moving straight.,0.4384799897670746,1
<DATASET_ROOT>/241018102947_M801C06L62G031_2673_end_extract/drive_3/03,motion,The vehicle is turning right.,0.26545071601867676,0
<DATASET_ROOT>/241018102947_M801C06L62G031_2673_end_extract/drive_3/03,weather,The weather is rainy.,0.017878269776701927,1
<DATASET_ROOT>/241018102947_M801C06L62G031_2673_end_extract/drive_3/03,weather,The weather is sunny.,0.07215022295713425,0
<DATASET_ROOT>/241018102947_M801C06L62G031_2673_end_extract/drive_3/03,time_of_day,It is daytime.,0.1490907520055771,1
<DATASET_ROOT>/241018102947_M801C06L62G031_2673_end_extract/drive_3/03,time_of_day,It is nighttime.,0.02025703154504299,0
<DATASET_ROOT>/240322135559_M801C06L62G031_2673_end_extract/drive_13/03,motion,The vehicle is moving straight.,0.5367395281791687,1
<DATASET_ROOT>/240322135559_M801C06L62G031_2673_end_extract/drive_13/03,motion,The vehicle is turning right.,0.312757283449173,0
<DATASET_ROOT>/240322135559_M801C06L62G031_2673_end_extract/drive_13/03,weather,The weather is cloudy.,0.10419433563947678,1
<DATASET_ROOT>/240322135559_M801C06L62G031_2673_end_extract/drive_13/03,weather,The weather is rainy.,0.014478983357548714,0
<DATASET_ROOT>/240322135559_M801C06L62G031_2673_end_extract/drive_13/03,time_of_day,It is daytime.,0.14556485414505005,1
<DATASET_ROOT>/240322135559_M801C06L62G031_2673_end_extract/drive_13/03,time_of_day,It is nighttime.,0.005029685795307159,0
<DATASET_ROOT>/231106095132_M801C06L62G031_2673_end_extract/drive_7/02,motion,The vehicle is moving straight.,0.40730226039886475,1
<DATASET_ROOT>/231106095132_M801C06L62G031_2673_end_extract/drive_7/02,motion,The vehicle is turning left.,0.1386961191892624,0
<DATASET_ROOT>/231106095132_M801C06L62G031_2673_end_extract/drive_7/02,weather,The weather is rainy.,0.1273500770330429,1
<DATASET_ROOT>/231106095132_M801C06L62G031_2673_end_extract/drive_7/02,weather,The weather is cloudy.,0.0451851449906826,0
<DATASET_ROOT>/231106095132_M801C06L62G031_2673_end_extract/drive_7/02,time_of_day,It is daytime.,0.13260549306869507,1
<DATASET_ROOT>/231106095132_M801C06L62G031_2673_end_extract/drive_7/02,time_of_day,It is nighttime.,0.02135155163705349,0
<DATASET_ROOT>/240529140943_M801C06L62G031_2673_end_extract/drive_17/02,motion,The vehicle is moving straight.,0.45664045214653015,1
<DATASET_ROOT>/240529140943_M801C06L62G031_2673_end_extract/drive_17/02,motion,The vehicle is turning left.,0.5315178632736206,0
<DATASET_ROOT>/240529140943_M801C06L62G031_2673_end_extract/drive_17/02,weather,The weather is sunny.,0.19302918016910553,1
<DATASET_ROOT>/240529140943_M801C06L62G031_2673_end_extract/drive_17/02,weather,It is snowing.,0.0006054117693565786,0
<DATASET_ROOT>/240529140943_M801C06L62G031_2673_end_extract/drive_17/02,time_of_day,It is daytime.,0.17988309264183044,1
<DATASET_ROOT>/240529140943_M801C06L62G031_2673_end_extract/drive_17/02,time_of_day,It is nighttime.,0.018013235181570053,0
<DATASET_ROOT>/240529140943_M801C06L62G031_2673_end_extract/drive_1/03,motion,The vehicle is moving straight.,0.569115161895752,1
<DATASET_ROOT>/240529140943_M801C06L62G031_2673_end_extract/drive_1/03,motion,The vehicle is driving through a curve.,0.09990468621253967,0
<DATASET_ROOT>/240529140943_M801C06L62G031_2673_end_extract/drive_1/03,weather,The weather is sunny.,0.1314377784729004,1
<DATASET_ROOT>/240529140943_M801C06L62G031_2673_end_extract/drive_1/03,weather,The weather is rainy.,0.0008720575133338571,0
<DATASET_ROOT>/240529140943_M801C06L62G031_2673_end_extract/drive_1/03,time_of_day,It is daytime.,0.14154206216335297,1
<DATASET_ROOT>/240529140943_M801C06L62G031_2673_end_extract/drive_1/03,time_of_day,It is nighttime.,0.0015678566414862871,0
